"Institute Name","Program Name","Seat Capacity","Female Supernumerary","Seat Capacity + Female Supernumerary"
"Indian Institute of Technology Roorkee","Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",25,2,27
"Indian Institute of Technology Roorkee","Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))",44,5,49
"Indian Institute of Technology Roorkee","Chemical Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",35,0,35
"Indian Institute of Technology Roorkee","Economics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",33,0,33
"Indian Institute of Technology (ISM) Dhanbad","Chemical Engineering (4 Years, Bachelor of Technology)",49,6,55
"Indian Institute of Technology (ISM) Dhanbad","Civil Engineering (4 Years, Bachelor of Technology)",61,8,69
"Indian Institute of Technology (ISM) Dhanbad","Computer Science and Engineering (4 Years, Bachelor of Technology)",124,15,139
"Indian Institute of Technology (ISM) Dhanbad","Electrical Engineering (4 Years, Bachelor of Technology)",114,9,123
"Indian Institute of Technology (ISM) Dhanbad","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",116,8,124
"Indian Institute of Technology (ISM) Dhanbad","Engineering Physics (4 Years, Bachelor of Technology)",29,2,31
"Indian Institute of Technology (ISM) Dhanbad","Environmental Engineering (4 Years, Bachelor of Technology)",47,1,48
"Indian Institute of Technology (ISM) Dhanbad","Mathematics and Computing (4 Years, Bachelor of Technology)",55,0,55
"Indian Institute of Technology (ISM) Dhanbad","Mechanical Engineering (4 Years, Bachelor of Technology)",111,20,131
"Indian Institute of Technology (ISM) Dhanbad","Mining Engineering (4 Years, Bachelor of Technology)",103,14,117
"Indian Institute of Technology (ISM) Dhanbad","Mining Machinery Engineering (4 Years, Bachelor of Technology)",47,9,56
"Indian Institute of Technology (ISM) Dhanbad","Petroleum Engineering (4 Years, Bachelor of Technology)",79,11,90
"Indian Institute of Technology (ISM) Dhanbad","Mineral and Metallurgical Engineering (4 Years, Bachelor of Technology)",37,8,45
"Indian Institute of Technology (ISM) Dhanbad","Applied Geology (5 Years, Integrated Master of Technology)",19,2,21
"Indian Institute of Technology (ISM) Dhanbad","Applied Geophysics (5 Years, Integrated Master of Technology)",19,2,21
"Indian Institute of Technology Ropar","Chemical Engineering (4 Years, Bachelor of Technology)",34,1,35
"Indian Institute of Technology Ropar","Civil Engineering (4 Years, Bachelor of Technology)",32,3,35
"Indian Institute of Technology Ropar","Computer Science and Engineering (4 Years, Bachelor of Technology)",73,11,84
"Indian Institute of Technology Ropar","Electrical Engineering (4 Years, Bachelor of Technology)",72,12,84
"Indian Institute of Technology Ropar","Engineering Physics (4 Years, Bachelor of Technology)",24,1,25
"Indian Institute of Technology Ropar","Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",19,1,20
"Indian Institute of Technology Ropar","Mathematics and Computing (4 Years, Bachelor of Technology)",34,2,36
"Indian Institute of Technology Ropar","Mechanical Engineering (4 Years, Bachelor of Technology)",67,16,83
"Indian Institute of Technology Ropar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",27,1,28
"Indian Institute of Technology (BHU) Varanasi","Ceramic Engineering (4 Years, Bachelor of Technology)",75,0,75
"Indian Institute of Technology (BHU) Varanasi","Chemical Engineering (4 Years, Bachelor of Technology)",156,0,156
"Indian Institute of Technology (BHU) Varanasi","Civil Engineering (4 Years, Bachelor of Technology)",110,10,120
"Indian Institute of Technology (BHU) Varanasi","Computer Science and Engineering (4 Years, Bachelor of Technology)",89,10,99
