Institute Name,Program Name,Seat Capacity,Female Supernumerary,Total
Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",40,0,40
Indian Institute of Technology Madras,"Instrumentation and Biomedical Engineering (4 Years, Bachelor of Technology)",40,0,40
Indian Institute of Technology Madras,"Naval Architecture and Ocean Engineering (4 Years, Bachelor of Technology)",69,9,78
Indian Institute of Technology Madras,"Physics (4 Years, Bachelor of Science)",12,1,13
Indian Institute of Technology Madras,"Biological Science (4 Years, Bachelor of Science)",30,0,30
Indian Institute of Technology Madras,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",10,0,10
Indian Institute of Technology Madras,"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",63,3,66
Indian Institute of Technology Gandhinagar,"Chemical Engineering (4 Years, Bachelor of Technology)",40,10,50
Indian Institute of Technology Gandhinagar,"Civil Engineering (4 Years, Bachelor of Technology)",32,8,40
Indian Institute of Technology Gandhinagar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",48,12,60
Indian Institute of Technology Gandhinagar,"Electrical Engineering (4 Years, Bachelor of Technology)",40,10,50
Indian Institute of Technology Gandhinagar,"Mechanical Engineering (4 Years, Bachelor of Technology)",40,10,50
Indian Institute of Technology Gandhinagar,"Integrated Circuit Design & Technology (4 Years, Bachelor of Technology)",24,6,30
Indian Institute of Technology Gandhinagar,"Artificial Intelligence (4 Years, Bachelor of Technology)",32,8,40
Indian Institute of Technology Gandhinagar,"Materials Engineering (4 Years, Bachelor of Technology)",32,8,40
Indian Institute of Technology Patna,"Chemical Engineering (4 Years, Bachelor of Technology)",65,5,70
Indian Institute of Technology Patna,"Chemical Science and Technology (4 Years, Bachelor of Technology)",40,0,40
Indian Institute of Technology Patna,"Civil Engineering (4 Years, Bachelor of Technology)",64,6,70
Indian Institute of Technology Patna,"Computer Science and Engineering (4 Years, Bachelor of Technology)",83,3,86
Indian Institute of Technology Patna,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",48,2,50
Indian Institute of Technology Patna,"Engineering Physics (4 Years, Bachelor of Technology)",37,3,40
Indian Institute of Technology Patna,"Mathematics and Computing (4 Years, Bachelor of Technology)",47,3,50
Indian Institute of Technology Patna,"Mechanical Engineering (4 Years, Bachelor of Technology)",82,4,86
Indian Institute of Technology Patna,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",43,3,46
Indian Institute of Technology Patna,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",48,2,50
Indian Institute of Technology Patna,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",46,4,50
Indian Institute of Technology Patna,"Economics (4 Years, Bachelor of Science)",24,0,24
Indian Institute of Technology Patna,"B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems (5 Years, Bachelor and Master of Technology (Dual Degree))",10,0,10
Indian Institute of Technology Patna,"B.Tech (Chemical Science and Technology) - MBA in Hospital and Health Care Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",5,0,5
Indian Institute of Technology Patna,"B.Tech (Civil Engineering) - MBA (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",6,0,6
